SPDES_Permit,Zip_Code,Facility_name,plant_type,Ground_Surface,Avg_DH_Flow
NY0001562,14125,U S GYPSUM CO OAKFIELD PLANT,Industrial,Surface,5.2
NY0001601,14207,E I DUPONT YERKES PLANT,Industrial,Surface,2.3
NY0001635,14303,OLIN CORPORATION CHLOR-ALKALI PRODUCTS,Industrial,Surface,30
NY0001643,14650,RED-ROCHESTER LLC AT EASTMAN BUSINESS PARK,Industrial,Surface,27.6
NY0001694,13148,ITT GOULDS PUMPS,Industrial,Surface,0.14
NY0001732,13662,ARCONIC INC MASSENA OPERATIONS,Industrial,Surface,23.1
NY0001741,14031,WEHRLE / BARTON QUARRY,Industrial,Surface,4.2
NY0001791,13642,ESM Balmat Mines and Mill,Industrial,Surface,1.45
NY0001856,13666,"NEWTON FALLS LAND RECLAMATION, LLC",Industrial,Surface,8.3
NY0001899,14001,NIAGARA SPECIALTY METALS INC,Industrial,Surface,0.07
NY0001902,13069,HUHTAMAKI INC,Industrial,Surface,3.2
NY0001945,14203,RIVERWRIGHT,Industrial,Surface,
NY0001988,14132,FORMER CARBORUNDUM COMPLEX,Industrial,Surface,0.18
NY0002097,14527,FERRO ELECTRONIC MATERIALS - PENN YAN FACILITY,Industrial,Surface,0.06
NY0002101,13088,LOCKHEED MARTIN - ELECTRONICS PARK,Industrial,Surface,1.17
NY0002127,14611,PFAUDLER INC,Industrial,Surface,0.1
NY0002143,13126,NOVELIS CORPORATION,Industrial,Surface,1.66
NY0002178,13078,HANSON - JAMESVILLE QUARRY,Industrial,Surface,2
NY0002186,13126,OSWEGO HARBOR POWER,Industrial,Surface,999.9
NY0002232,13401,"B&B Lumber Company, Inc.",Industrial,Surface,0.04
NY0002241,14891,CARGILL SALT CO- WATKINS GLEN PLANT,Industrial,Surface,5.13
NY0002267,14009,PRESTOLITE ELECTRIC NY INC,Industrial,Surface,0.48
NY0002275,13209,HONEYWELL INTERNATIONAL INC,Industrial,Surface,0.27
NY0002321,14048,DUNKIRK STEAM GENERATING STATION,Industrial,Surface,578.5
NY0002330,14891,U S SALT - WATKINS GLEN REFINERY,Industrial,Surface,9.42
NY0002372,13368,LYONSDALE PAPER MILL,Industrial,Surface,1.1
NY0002399,14150,TONAWANDA COKE CORPORATION,Industrial,Surface,2.65
NY0002402,14580,XEROX CORPORATION - WILSON CENTER,Industrial,Surface,1.8
NY0002461,13668,BARRETT PAVING NORWOOD QUARRY,Industrial,Surface,0.22
NY0002518,14739,"SAPUTO DAIRY FOODS USA, LLC",Industrial,Surface,0.63
NY0002551,14606,SUNOCO PARTNERS M & T ROCHESTER TERMINAL,Industrial,Surface,0.02
NY0002577,14098,MIZKAN AMERICA INC LYNDONVILLE PLANT,Industrial,Both,0.02
NY0002585,14516,FLEISCHMANN'S VINEGAR CO INC,Industrial,Surface,0.1
NY0002607,13656,HP HOOD LAFARGEVILLE PLANT,Industrial,Surface,0.4
NY0002712,14225,CALSPAN CORP,Industrial,Surface,0.02
NY0002755,13305,OMNIAFILTRA LLC,Industrial,Surface,1.31
NY0002763,12967,NORTH COUNTRY DAIRY LLC,Industrial,Surface,1.59
NY0002810,14020,O-AT-KA MILK PRODUCTS COOP INC,Industrial,Surface,0.97
NY0002836,14323,UNIVERSITY OF ROCHESTER - CENTRAL UTILITIES,Industrial,Surface,13.09
NY0002852,14227,COMO QUARRY,Industrial,Surface,0.01
NY0002909,13114,GRANDMA BROWNS BEANS,Industrial,Surface,0.05
NY0002917,,HANSON - GENEVA PLANT,Industrial,Surface,0.23
NY0002933,14850,EMERSUB 15 LLC - ITHACA OU-1,Industrial,Surface,0.15
NY0002941,14001,COUNTY LINE STONE - AKRON QUARRY,Industrial,Surface,0.01
NY0002950,14070,MOENCH TANNING CO,Industrial,Surface,0.38
NY0002984,13642,VANDERBILT MINERALS LLC - GOVERNEUR MINERAL DIVISION,Industrial,Surface,0.45
NY0002992,14472,HONEOYE FALLS QUARRY & ASPHALT PLANT,Industrial,Surface,0.54
NY0003042,13667,APC PAPER COMPANY OF NEW YORK,Industrial,Surface,0.12
NY0003077,14094,REDLAND QUARRIES NY INC-LOCKPORT QUARRY,Industrial,Surface,0.09
NY0003255,14551,HANSON / SODUS PIT,Industrial,Surface,0.19
NY0003328,14302,CHEMOURS NIAGARA,Industrial,Surface,13.38
NY0003336,14302,OCCIDENTAL CHEMICAL CORP - NIAGARA PLANT,Industrial,Surface,37.34
NY0003344,13069,INTERFACE PERFORMANCE MATERIALS,Industrial,Surface,3.08
NY0003352,14611,UNITED REFINING COMPANY CHILI AVE TERMINAL,Industrial,Surface,
NY0003395,14701,TITANX ENGINE COOLING INC,Industrial,Surface,0.23
NY0003433,14702,JAMESTOWN ELECTRO PLATING WORKS,Industrial,Surface,0.04
NY0003441,14760,COOPER POWER SYSTEMS,Industrial,Surface,0
NY0003646,14727,Great Lakes Cheese - Cuba Plant,Industrial,Surface,0.3
NY0003689,14701,CHAUTAUQUA HARDWARE CORP,Industrial,Surface,
NY0003701,14701,RING PUNCH & DIE DIV PRODUCTO MACHINE,Industrial,Surface,0
NY0003808,13760,i3 Electronics Huron Campus,Industrial,Surface,2.14
NY0003824,13838,AMPHENOL CORP - AEROSPACE OPERATIONS,Industrial,Surface,1.34
NY0003859,14830,HICKLING STATION,Industrial,Surface,77.34
NY0003867,13733,GMMM JENNISON LLC,Industrial,Surface,65.34
NY0003875,13790,GMMM WESTOVER,Industrial,Surface,101.9
NY0003905,,GLENDALE TECHNOLOGY PARK,Industrial,Surface,0.07
NY0003956,14831,CORNING INC- HOUGHTON PARK FACILITY,Industrial,Surface,1.5
NY0003972,14870,CORNING INC SULLIVAN PARK,Industrial,Surface,0.48
NY0004057,13827,LOCKHEED MARTIN MISSION SYSTEMS AND TRAINING,Industrial,Surface,0.15
NY0004081,14903,MOTOR COMPONENTS LLC,Industrial,Surface,0.93
NY0004103,14845,CBS CORPORATION,Industrial,Surface,1.57
NY0004138,13814,NORWICH PHARMACEUTICALS INC,Industrial,Surface,0.14
NY0004146,13815,CHOBANI CORPORATE CAMPUS,Industrial,Surface,0.3
NY0004189,13411,"CHOBANI, LLC",Industrial,Surface,0.05
NY0004219,14807,HP HOOD LLC - ARKPORT,Industrial,Both,0.25
NY0004243,13815,KERRY,Industrial,Surface,2.3
NY0004278,14879,SAVONA LPG FACILITY,Industrial,Surface,0.02
NY0004308,14821,UPSTATE FARMS CHEESE LLC,Industrial,Surface,0.45
NY0004405,12822,INTERNATIONAL PAPER HUDSON RIVER MILLS DEVELOPMENT,Industrial,Surface,0.25
NY0004413,12883,INTERNATIONAL PAPER TICONDEROGA MILL,Industrial,Surface,14.52
NY0004421,12553,AMERICAN FELT & FILTER CO,Industrial,Surface,0.04
NY0004430,10988,CARNEGIE ENTERPRISE,Industrial,Surface,0.02
NY0004472,10511,INDIAN POINT 2 LLC AND INDIAN POINT 3 LLC,Industrial,Surface,2800.74
NY0004502,10303,380 DEVELOPMENT LLC PROPERTY,Industrial,Surface,
NY0004588,10550,SPRAGUE MOUNT VERNON TERMINAL,Industrial,Surface,0.01
NY0004596,11222,KM PHOENIX HOLDINGS LLC - BROOKLYN TERMINAL,Industrial,Surface,0.02
NY0004600,10965,PEARL RIVER CAMPUS LLC,Industrial,Surface,2.8
NY0004618,12564,PAWLING ENGINEERED PRODUCTS,Industrial,Both,0.15
NY0004839,12077,NORTH ALBANY TERMINAL CO - GLENMONT TERMINAL,Industrial,Surface,0.02
NY0004880,12047,NORLITE LLC,Industrial,Surface,0.22
NY0004961,10309,KINDER MORGAN LIQUIDS TERMINALS LLC,Industrial,Surface,
NY0005011,12022,NORTHEAST GREEN CENTER LLC,Industrial,Surface,0.02
NY0005037,12143,RAVENA CEMENT PLANT,Industrial,Surface,13
NY0005061,12090,WALLOOMSAC RECYCLING,Industrial,Surface,0.39
NY0005096,12533,GLOBALFOUNDRIES EAST FISHKILL FACILITY,Industrial,Surface,3
NY0005100,10314,ARTHUR KILL GENERATING STATION,Industrial,Surface,660.1
NY0005118,11105,ASTORIA GENERATING STATION,Industrial,Surface,1402.2
NY0005126,10009,CON ED-EAST RIVER GENERATING STATION,Industrial,Surface,540.6
NY0005134,10019,CON ED-59TH ST STATION,Industrial,Surface,5.21
NY0005151,11201,CON EDISON - HUDSON AVE STATION,Industrial,Surface,5.78
NY0005177,10021,CON ED-74TH STREET STA,Industrial,Surface,1.35
NY0005193,11101,RAVENSWOOD GENERATING STATION,Industrial,Surface,999.9
NY0005231,10994,TILCON QUARRIES HAVERSTRAW PLANT,Industrial,Surface,1.4
NY0005240,10986,TILCON -TOMKINS COVE QUARRY,Industrial,Surface,0.5
NY0005266,10990,JCI JONES CHEMICALS INC,Industrial,Surface,0.12
NY0005282,13357,REMINGTON ARMS CO,Industrial,Surface,0.86
NY0005304,11931,CORWIN/CRESCENT DUCK FARM,Industrial,Surface,0.09
NY0005347,12550,GLOBAL COMPANIES - SOUTH TERMINAL,Industrial,Surface,0.15
NY0005487,13425,HANSON - ORISKANY FALLS,Industrial,Surface,1.67
NY0005525,12801,FINCH PAPER LLC,Industrial,Surface,16.38
NY0005541,12601,IBM CORP SOUTH RD FACILITY,Industrial,Surface,22.1
NY0005622,10924,MACK BROTHERS,Industrial,Surface,0.01
NY0005649,12601,TILCON - CLINTON POINT QUARRY,Industrial,Surface,4.49
NY0005665,13440,REVERE COPPER PRODUCTS INC,Industrial,Surface,6.42
NY0005690,12144,BUCKEYE RENSSELAER TERMINAL,Industrial,Surface,
NY0005720,12586,AMPAC PAPER LLC,Industrial,Surface,0.03
NY0005754,12508,BEACON TECHNOLOGY CENTER,Industrial,Surface,1.11
NY0005801,12150,SI GROUP INC - ROTTERDAM JUNCTION FACILITY,Industrial,Surface,1.02
NY0005835,11973,BROOKHAVEN NATIONAL LABORATORY,Industrial,Surface,6.8
NY0005843,12020,KNOLLS ATOMIC POWER LABORATORY (KAPL) - KESSELRING SITE,Industrial,Surface,0.8
NY0005851,12309,USDOE KNOLLS ATOMIC POWER LABORATORY,Industrial,Surface,7.83
NY0005878,11771,GLOBAL COMPANIES - COMMANDER TERMINAL,Industrial,Surface,0.03
NY0005894,11547,GLENWOOD  BLACK START GT FACILITY,Industrial,Surface,0.26
NY0005908,11558,EF BARRETT POWER STATION,Industrial,Surface,294.3
NY0005916,11547,GLENWOOD COMBUSTION TURBINE FACILITY,Industrial,Surface,173.7
NY0005932,11777,PORT JEFFERSON POWER STATION,Industrial,Surface,398.7
NY0005941,11768,NORTHPORT POWER STATION,Industrial,Both,938.3
NY0005959,12077,BETHLEHEM ENERGY CENTER,Industrial,Surface,515.3
NY0006033,10048,PORT AUTHORITY OF NY&NJ - WORLD TRADE CENTER,Industrial,Surface,25
NY0006050,12828,IRVING TISSUE FT EDWARD OPERATIONS,Industrial,Surface,4
NY0006092,12996,IMERYS WOLLASTONITE PLANT,Industrial,Surface,0
NY0006131,11222,ZENITH ENERGY TERMINALS BROOKLYN,Industrial,Surface,
NY0006157,12502,SCHWEITZER-MAUDUIT,Industrial,Surface,0.98
NY0006173,12569,DUTCHESS QUARRY,Industrial,Surface,0.28
NY0006220,12144,CENEX TERMINALS,Industrial,Both,0.07
NY0006262,12550,DANSKAMMER GENERATING STATION,Industrial,Surface,457.5
NY0006297,11214,BAYSIDE FUEL OIL DEPOT-1776 SHORE PKWY,Industrial,Surface,
NY0006301,11249,FORMER BAYSIDE FUEL OIL DEPOT CORPORATION - N 12TH ST,Industrial,Surface,
NY0006432,10980,STONY POINT FACILITY,Industrial,Surface,0.01
NY0006491,12090,INTERFACE PERFORMANCE MATERIALS,Industrial,Surface,0.57
NY0006548,13440,OWL WIRE AND CABLE INC - ROME FACILITY,Industrial,Surface,0.03
NY0006629,10705,AMERICAN SUGAR REFINING INC,Industrial,Surface,12
NY0006645,10511,CONTINENTAL BUCHANAN LLC,Industrial,Surface,0.01
NY0006734,12183,HONEYWELL FRICTION MATERIALS,Industrial,Surface,0.45
NY0006769,12832,TELESCOPE CASUAL FURNITURE,Industrial,Surface,
NY0006777,13440,REVERE COPPER PRODUCTS INC,Industrial,Surface,6.42
NY0006785,12834,HOLLINGSWORTH & VOSE GREENWICH MILL,Industrial,Surface,0.4
NY0006807,12834,HOLLINGSWORTH & VOSE-EASTON MILL,Industrial,Both,3.2
NY0006815,12553,GLOBAL COMPANIES - CARGO TERMINAL,Industrial,Surface,
NY0006823,11559,Shell Long Island Terminal,Industrial,Surface,0.36
NY0006840,13309,BARRETT PAVING BOONVILLE QUARRY,Industrial,Surface,0
NY0006866,10520,METRO-NORTH RAILROAD  HARMON YARD,Industrial,Surface,0.04
NY0006874,12414,HOLCIM (US) INC - CATSKILL PLANT,Industrial,Surface,
NY0006904,,EPIC HOLDINGS LLC,Industrial,Surface,0.01
NY0006912,12188,MOHAWK FINE PAPERS INC WATERFORD FACILITY,Industrial,Surface,0.9
NY0007030,12309,GE GLOBAL RESEARCH CENTER,Industrial,Surface,0.38
NY0007048,12828,GENERAL ELECTRIC COMPANY - TDIS,Industrial,Surface,0.13
NY0007056,12345,GENERAL ELECTRIC STEAM TURBINE GENERATOR GLOBAL,Industrial,Surface,18.05
NY0007072,12158,SABIC INNOVATIVE PLASTICS US LLC,Industrial,Surface,1.01
NY0007129,13413,SPECIAL METALS CORPORATION,Industrial,Surface,0.09
NY0007145,10314,VANBRO CORPORATION,Industrial,Surface,0
NY0007161,12863,COTTRELL PAPER COMPANY INC,Industrial,Surface,0.4
NY0007170,12921,NORTHSTAR FACILITY,Industrial,Surface,0.03
NY0007226,12803,Essity Professional Hygiene North America LLC,Industrial,Surface,1.52
NY0007242,12415,LEHIGH NORTHEAST CEMENT CO - CEMENTON TERMINAL,Industrial,Ground,
NY0007579,10962,PRAXAIR SURFACE TECHNOLOGIES,Industrial,Surface,0.29
NY0007641,11211,BAYSIDE FUEL OIL DEPOT-1100 GRAND ST,Industrial,Surface,0
NY0007650,10455,BUCKEYE TERMINALS LLC - BRONX TERMINAL,Industrial,Surface,0.02
NY0007668,10454,SPRAGUE OPERATING RESOURCES LLC  - 939 E 138TH ST,Industrial,Surface,0.01
NY0007676,11222,UNITED METRO TERM-498 KINGSLAND AVE,Industrial,Surface,0
NY0007943,10918,NEXANS ENERGY USA INC,Industrial,Surface,0.06
NY0008010,10993,BOWLINE GENERATING STATION,Industrial,Surface,912.1
NY0008087,12428,AVNET INC (FORMER IMPERIAL SCHRADE SITE),Industrial,Surface,0.04
NY0008109,11430,JFK INTERNATIONAL AIRPORT,Industrial,Surface,0.01
NY0008133,11371,PORT AUTH OF NY & NJ - LAGUARDIA AIRPORT,Industrial,Surface,0.38
NY0008150,12801,LEHIGH CEMENT COMPANY LLC,Industrial,Surface,5.5
NY0008231,12550,ROSETON GENERATING STATION,Industrial,Surface,925.8
NY0008265,12501,AMENIA S & G-LEEDSVILLE PROCESSING PLANT,Industrial,Surface,0.3
NY0008494,13856,KRAFT HEINZ FOODS CO,Industrial,Surface,1.08
NY0008559,13021,AUBURN - C WTR TREAT PLT,Industrial,Surface,0
NY0008575,13126,ONTARIO WTP,Industrial,Surface,0.7
NY0008605,12188,MOMENTIVE PERFORMANCE MATERIALS,Industrial,Surface,49.49
NY0008613,12547,BROOKLYN BOTTLING CO OF MILTON WWTP,Industrial,Surface,0.34
NY0020028,14482,LE ROY QUARRY,Industrial,Ground,0.07
NY0020061,11901,RIVERHEAD SEWER DISTRICT WWTF,Municipal,Surface,1.3
NY0020079,11944,V-GREENPORT WASTEWATER TREATMENT PLANT,Municipal,Surface,0.66
NY0020109,13093,FITZPATRICK NUCLEAR POWER PLANT,Industrial,Surface,570.3
NY0020117,13642,GOUVERNEUR (V) WWTF,Municipal,Surface,3.67
NY0020125,13367,LOWVILLE MUNICIPAL POLL CTRL FAC,Municipal,Surface,1.8
NY0020141,12306,ROTTERDAM SEWER DIST #2,Municipal,Surface,1.5
NY0020168,11770,OCEAN BEACH SEWAGE TREATMENT PLANT,Municipal,Surface,0.5
NY0020184,12835,HADLEY SEWAGE TREATMENT PLANT,Municipal,Ground,0.05
NY0020222,12993,WESTPORT WWTP,Municipal,Surface,0.18
NY0020231,12870,SCHROON LAKE WWTP,Municipal,Surface,0.35
NY0020249,13476,VERNON SEWAGE TREATMENT PLANT,Municipal,Surface,0.81
NY0020257,13142,PULASKI - V STP,Municipal,Surface,0.65
NY0020265,13753,DELHI - V STP,Municipal,Surface,1.02
NY0020273,10921,FLORIDA-V STP,Municipal,Surface,0.45
NY0020281,13343,NYS GLENFIELD SEWER DIST,Municipal,Surface,0.06
NY0020290,12010,AMSTERDAM - C WASTEWATER TREATMENT PLANT,Municipal,Surface,10
NY0020311,14432,CLIFTON SPRINGS - V WWTP,Municipal,Surface,0.5
NY0020320,14801,ADDISON - V STP,Municipal,Surface,0.42
NY0020338,13140,PORT BYRON (V) WWTP,Municipal,Surface,0.28
NY0020389,12414,CATSKILL - V WWTP,Municipal,Surface,1.55
NY0020397,12822,Corinth STP,Municipal,Surface,0.6
NY0020419,14172,WILSON STP,Municipal,Surface,0.31
NY0020435,10598,THOMAS J WATSON RESEARCH CENTER,Industrial,Surface,
NY0020478,11797,WOODBURY VALLEY FORGE SEWER DIS 1 STP,Municipal,Surface,0.06
NY0020486,13350,HERKIMER WATER POLL CTRL FAC,Municipal,Surface,1.7
NY0020494,13309,BOONVILLE WWTP,Municipal,Surface,1.1
NY0020516,12305,SCHENECTADY - C STP,Municipal,Surface,18.5
NY0020524,14891,WATKINS GLEN - V STP,Municipal,Surface,0.7
NY0020532,13108,MARCELLUS - V STP,Municipal,Surface,0.38
NY0020541,14004,ALDEN STP,Municipal,Surface,0.65
NY0020559,13166,WEEDSPORT (V) WWTP,Municipal,Surface,0.55
NY0020567,11561,LONG BEACH WATER POLLUTION CONTROL PLANT,Municipal,Surface,7.5
NY0020621,14895,V - WELLSVILLE WASTEWATER TREATMENT PLANT,Municipal,Surface,2.2
NY0020664,13135,PHOENIX - V STP,Municipal,Surface,0.6
NY0020672,13346,HAMILTON - V WATER POLLUTION CONTROL PLANT,Municipal,Surface,0.85
NY0020737,13083,HANSON - LACONA PLANT NORTH,Industrial,Surface,0.06
NY0020818,13676,POTSDAM WATER POLL CNTL PLANT,Municipal,Surface,3.5
NY0020826,14757,NORTH CHAUTAUQUA LAKE SD WWTP,Municipal,Surface,0.5
NY0020869,12015,ATHENS - V  MAIN STP,Municipal,Surface,0.4
NY0020877,12015,ATHENS - V BRICKROW STP,Municipal,Surface,0.02
NY0020907,14058,ELBA - V STP,Municipal,Surface,0.08
NY0020923,13425,ORISKANY FALLS WWTP,Municipal,Surface,0.09
NY0020931,13628,DEFEREIT SEWAGE TREATMENT PLANT,Municipal,Surface,0.04
NY0020958,14850,CAYUGA HEIGHTS-V WASTEWATER TREATMENT PL,Municipal,Surface,2
NY0020966,14770,PORTVILLE WASTEWATER TREATMENT PLANT,Municipal,Surface,0.78
NY0020991,12913,BLOOMINGDALE STP,Municipal,Surface,0.06
NY0021008,14870,PAINTED POST OPERATION,Industrial,Surface,0.19
NY0021016,12202,GLOBAL COMPANIES LLC - ALBANY TERMINAL,Industrial,Surface,
NY0021181,14611,ROCHESTER TERMINAL,Industrial,Surface,
NY0021334,14787,WESTFIELD WATER POLLUTION CONTROL FACILITY,Municipal,Surface,2.6
NY0021342,11743,HUNTINGTON SEWER DISTRICT STP,Municipal,Surface,2.5
NY0021351,13420,OLD FORGE SEWER DISTRICT WASTEWATER TREATMENT PLANT,Municipal,Surface,0.45
NY0021369,13668,NORWOOD - V  WASTEWATER TREATMENT PLANT,Municipal,Surface,0.43
NY0021377,13316,CAMDEN WASTEWATER TREATMENT PLANT,Municipal,Surface,0.8
NY0021385,13323,CLINTON SEWAGE TREATMENT PLANT,Municipal,Surface,2.5
NY0021393,13618,CAPE VINCENT SEWAGE TREATMENT PLANT,Municipal,Surface,0.14
NY0021407,13778,GREENE - V STP,Municipal,Surface,0.45
NY0021423,13815,NORWICH - C WASTEWATER TREATMENT PLANT,Municipal,Surface,2.2
NY0021431,14810,BATH WASTEWATER TREATMENT PLANT,Municipal,Surface,1
NY0021466,13460,SHERBURNE - V STP,Municipal,Surface,0.43
NY0021474,14141,SPRINGVILLE WWTP,Municipal,Surface,1.15
NY0021482,14551,SODUS - V WWTP,Municipal,Surface,0.38
NY0021504,14569,WARSAW STP,Municipal,Surface,1.2
NY0021521,12589,SHAWANGUNK WALLKILL SEWER DISTRICT,Municipal,Surface,0.64
NY0021539,13037,CHITTENANGO - V STP,Municipal,Surface,1.3
NY0021547,12832,VILLAGE OF GRANVILLE WWTP,Municipal,Surface,0.65
NY0021555,12167,STAMFORD - V STP,Municipal,Surface,0.7
NY0021563,12401,ULSTER SEWER DISTRICT SEWAGE TREATMENT PLANT,Municipal,Surface,1.6
NY0021571,12401,ULSTER WHITTIER SEWER DIS STP,Municipal,Surface,0.1
NY0021601,12590,WAPPINGERS FLEETWOOD MANOR SEWER DIS,Municipal,Surface,0.06
NY0021610,14850,WEBSTER-T STP/WW BRADLEY POLLUTION CONTROL FACILITY,Municipal,Surface,7.5
NY0021695,10979,IBM STERLING FOREST OFFICE BUILDING,Industrial,Surface,1.36
NY0021733,12983,SARANAC LAKE STP,Municipal,Surface,2.62
NY0021750,11777,SCSD #1 - PORT JEFFERSON STP,Municipal,Surface,1.15
NY0021806,12184,VALATIE SEWAGE TREATMENT PLANT,Municipal,Surface,0.25
NY0021822,11771,OYSTER BAY SEWAGE TREATMENT PLANT,Municipal,Surface,1.8
NY0021831,12979,ROUSES POINT WWTP,Municipal,Surface,2
NY0021849,14011,ATTICA WASTEWATER TREATMENT PLANT,Municipal,Surface,1.4
NY0021857,14004,ALDEN SD #2 STP,Municipal,Surface,0.02
NY0021865,14865,MONTOUR FALLS - V STP,Municipal,Surface,0.31
NY0021873,14103,MEDINA WASTEWATER TREATMENT PLANT,Municipal,Surface,4.5
NY0021890,10990,WARWICK SEWER DIS 1 STP,Municipal,Surface,0.43
NY0021903,13021,AUBURN SEWAGE TREATMENT PLANT,Municipal,Surface,12
NY0022012,13625,COLTON STP,Municipal,Surface,0.07
NY0022039,12534,HUDSON - C STP,Municipal,Surface,2.8
NY0022098,12583,TIVOLI WWTF,Municipal,Surface,0.1
NY0022110,13461,CITY OF SHERRILL STP,Municipal,Surface,0.95
NY0022136,14218,ECSD NO 6 LACKAWANNA WATER RESOURCE RECOVERY FACILITY,Municipal,Surface,4.5
NY0022144,12518,CORNWALL WWTP,Municipal,Surface,1.5
NY0022152,12518,FIRTHCLIFF SEWER DISTRICT SEWAGE TREATMENT PLANT,Municipal,Surface,0.12
NY0022187,12946,LAKE PLACID WPCP,Municipal,Surface,2.5
NY0022195,12929,DANNEMORA STP,Municipal,Surface,1.5
NY0022217,12085,PARK GUILDERLAND - NORTHEAST INDUSTRIAL PARK,Municipal,Surface,0.36
NY0022225,12084,GUILDERLAND - T NOTT RD STP,Municipal,Surface,3.6
NY0022331,14105,VILLAGE OF MIDDLEPORT WWTF,Municipal,Surface,0.7
NY0022357,14802,ALFRED WASTEWATER TREATMENT PLANT,Municipal,Surface,0.98
NY0022365,13165,WATERLOO - V STP,Municipal,Surface,0.8
NY0022381,14715,BOLIVAR WWTP,Municipal,Surface,0.4
NY0022403,13365,LITTLE FALLS WASTEWATER TREATMENT PLANT,Municipal,Surface,7
NY0022411,14136,SILVER CREEK WWTP,Municipal,Surface,0.75
NY0022420,14485,LIMA - V WWTP,Municipal,Surface,0.3
NY0022446,12550,NEW WINDSOR STP,Municipal,Surface,5
NY0022454,12701,MONTICELLO STP,Municipal,Surface,3.1
NY0022501,13607,ALEXANDRIA BAY WWTP,Municipal,Surface,0.75
NY0022519,12149,RICHMONDVILLE - V STP,Municipal,Surface,0.2
NY0022543,14006,ERIE CO SD 2 - BIG SISTER CREEK WATER RESOURCE RECOVERY FACILITY,Municipal,Surface,4.5
